stock_id,estimate_id,maintenance_id,type_id,package_id,price_maintenance
21994,0,33605,6,200,1350
14655,0,31213,3,82,0
19196,0,32495,6,71,0
22906,3216849,38484,6,78,0
32902,0,33722,6,71,0
17853,0,32474,1,200,1799
18490,0,36231,6,71,0
40565,8021741,38097,6,78,0
31140,0,36023,6,200,1250
29523,3938441,36436,1,200,1799
37754,6121702,38275,6,76,0
101435,0,35731,2,200,499
34701,7088577,38571,6,96,0
24028,0,36005,6,96,0
37027,0,35252,6,96,0
30663,0,34956,6,200,1000
104368,8302159,38591,6,78,0
25612,0,32223,6,200,750
22693,0,34187,6,71,0
37574,0,35159,6,200,1250
22065,7288223,37327,6,200,1250
31531,0,35630,6,200,850
32992,0,35571,6,98,0
38889,5469741,36663,6,200,1100
30970,0,33211,6,200,1000
16385,0,31617,1,200,2199
37115,0,36191,6,200,750
18063,0,31503,6,82,0
102682,8583691,37676,6,200,1799
24862,0,33837,6,200,1350
25190,0,33688,6,200,1000
24102,0,34158,1,200,1699
43829,0,36359,6,98,0
38053,6619978,37209,6,71,0
18088,0,33000,6,81,0
15903,0,31695,6,200,1350
36730,0,33243,6,200,1350
35352,0,32719,6,78,0
104106,9510026,37883,6,78,0
33130,6802225,37396,6,200,750
13726,0,32119,6,200,1200
1828,0,35054,1,200,2149
32470,0,35567,6,76,0
29268,0,35447,1,200,2199
32738,0,36075,6,200,1100
20210,0,32416,6,71,0
40857,6339376,36441,6,96,0
48256,0,35275,6,96,0
28917,0,35732,6,98,0
22328,0,31920,6,200,1250
16618,0,31648,6,200,2199
102705,9102370,36699,6,200,750
19774,2868040,37386,6,200,1250
31156,0,34571,6,200,1350
19439,0,31671,6,71,0
18128,0,31056,3,82,0
25832,4574592,37507,1,200,2299
46275,7636191,37928,6,200,1250
27718,0,35610,6,76,0
42499,6107069,36509,6,200,650
102682,0,36095,6,200,850
24731,0,33294,6,200,650
32131,0,34401,6,76,0
22734,0,32897,6,76,0
23672,3891698,37198,6,200,750
30803,0,35812,6,200,750
24605,0,33768,3,200,2299
43466,6107399,37266,6,98,0
25020,0,32691,6,200,850
40346,0,36229,6,200,1800
23867,7296792,37326,1,200,2299
29204,0,33978,6,200,750
17414,0,31393,6,82,0
21175,4013305,36962,6,200,900
26084,0,33005,6,200,1000
35704,0,36343,6,200,1800
19699,0,32439,6,78,0
39985,7206803,37114,6,98,0
40727,0,36347,6,76,0
30005,3864263,36943,6,71,0
23437,0,32938,6,200,1200
19767,0,32325,6,200,1350
43947,6745299,37406,6,200,1100
27401,0,36158,6,200,650
41238,0,35996,6,81,0
36036,7430390,37715,6,78,0
42935,6818561,37484,6,200,650
23110,0,33204,6,200,1350
106350,0,36399,6,76,0
28919,0,34053,6,81,0
35780,9005444,38785,6,200,1100
22960,0,33513,6,200,1200
21561,0,32626,1,200,949
13638,0,31810,1,200,2149
28250,0,35805,6,71,0
46520,7114632,37471,1,200,1799
32033,0,33141,6,81,0
28044,0,34349,6,200,650
26147,0,34353,6,71,0
